STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : SAKARYA HENDEK ORMAN ISLETME MUD
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 5405
STATION COORDINATES     : 40.79609N-30.73520E
STATION ALTITUDE (m)    : 173
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101411
RECORD TIME             : 20/07/2017 22:31:58.000000 (GMT)
NUMBER OF DATA          : 42516
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 1.023915 (E-W) 1.107856 (U-D) 0.385138
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.000520      0.001040    -0.000260
   -0.001559      0.000780    -0.000520
    0.000520      0.001299    -0.000260
    0.001559      0.001299     0.000780
    0.001299     -0.000260    -0.000520
   -0.000260     -0.001040     0.000780
   -0.000260     -0.000780     0.000260
    0.002599      0.001040     0.001040
    0.000520     -0.001299     0.003378
   -0.000260     -0.001299    -0.000520
    0.004418      0.003119    -0.001819
    0.000260      0.001040     0.000780
   -0.001559      0.000780     0.001299
    0.002339      0.000780     0.000780
    0.001040     -0.001819    -0.000260
   -0.000520     -0.000520    -0.001040
    0.000780      0.001299    -0.001040
    0.002339     -0.000520     0.000520
   -0.000520     -0.002599     0.002599
   -0.000780      0.000780     0.001559
    0.002079      0.003378     0.001299
    0.000780     -0.001819     0.001299
    0.000520     -0.002859    -0.000520
    0.000000      0.003119    -0.001559
    0.000000      0.002859    -0.001819
    0.001040     -0.003898     0.001559
    0.000780     -0.004678     0.002599
   -0.000780      0.001040    -0.000780
    0.000520      0.002079    -0.000780
    0.001299     -0.002859     0.001040
   -0.001559     -0.002859     0.000000
    0.002079      0.001819    -0.000520
    0.004158      0.001819     0.001040
   -0.000260     -0.002599     0.002079
    0.000520     -0.002599     0.001040
   -0.000260      0.001819    -0.000520
    0.000260      0.002599     0.000000
    0.001040      0.001299     0.001040
   -0.000780      0.001559     0.000000
    0.003638      0.002079    -0.000780
    0.002339      0.001299     0.000260
   -0.002339      0.001040    -0.000520
    0.001299      0.001819     0.000000
    0.001040      0.000520     0.001559
    0.001559     -0.000260     0.000520
    0.001299      0.002079    -0.001040
   -0.000780     -0.000520     0.000780
    0.002599     -0.004678     0.004158
   -0.000780     -0.003638     0.002599
   -0.001040      0.001040    -0.000260
    0.003638      0.003378     0.000780
    0.000000     -0.003378     0.000780
    0.000780     -0.003898     0.000520
    0.002859      0.002599     0.001040
   -0.000780      0.001819    -0.000260
   -0.001819     -0.002599     0.001559
   -0.001559     -0.002599     0.002079
   -0.000520      0.002079    -0.000520
    0.001559      0.001559     0.000000
    0.000260     -0.003638     0.000520
    0.000260     -0.000520     0.000780
    0.002079      0.003638     0.000780
    0.001040     -0.001040     0.001299
   -0.000520     -0.001299     0.001559
    0.001819     -0.000780    -0.000520
    0.002859      0.001819     0.001559
   -0.003119      0.004678     0.001299
   -0.001040     -0.001819     0.000260
    0.003119     -0.001040     0.002599
   -0.001559      0.001819    -0.000780
    0.000000      0.000780    -0.002079
    0.002339      0.000780     0.001040
   -0.001040     -0.001299     0.000260
    0.001040      0.000520     0.000780
    0.000520      0.001299     0.002079
   -0.000260     -0.002339     0.000520
    0.003638     -0.000780     0.002339
    0.000260      0.000260     0.002079
   -0.000780      0.001819    -0.000520
